algorithm1,algorithm2,label
F33_LCP/A01_F33_S_Vertical,F33_LCP/A15_F33_O_A05_PointerOffset,1
F37_TrimSpace/A09_F37_O_A01_Flattening,F37_TrimSpace/A12_F37_O_A01_VarSplit,1
F12_BubbleSort/A17_F12_O_A16_Switch,F50_IntToRoman/A17_F50_S_Duo_Array_Index,0
F10_Log2/A16_F10_O_A01_ArithmeticIdent,F10_Log2/A17_F10_O_A01_LogicWrap,1
F46_Base64Encode/A12_F46_O_A06_BitwiseSwap,F30_SubStrFind/A07_F30_S_FirstCharJump,0
F26_StrLen/A13_F26_O_A01_Struct,F01_Sum/A13_F01_S_TailRecursive,0
F26_StrLen/A09_F26_O_A01_Opaque,F43_IsPowerOfTwo/A20_F43_O_A03_StepSplit,0
F05_Sqrt/A09_F05_O_A08_ExpLog,F29_AnagramCheck/A19_F29_O_A01_DoubleArray,0
F03_Factorial/A07_F03_O_A06_ManualTail,F03_Factorial/A14_F03_S_Decrement,1
F17_ArrayRotate/A02_F17_S_Juggling,F40_HexToInt/A17_F40_O_A04_RecursiveJump,0
F50_IntToRoman/A03_F50_S_Recursive_Decomposition,F50_IntToRoman/A10_F50_O_A01_OpaquePredicates,1
F22_InsertionSort/A14_F22_O_A01_DummyLoop,F47_XorCipher/A01_F47_S_BasicIter,0
F21_ShellSort/A01_F21_S_ShellGap,F21_ShellSort/A09_F21_O_A01_Goto,1
F42_HammingDistance/A12_F42_O_A06_Arith,F42_HammingDistance/A19_F42_O_A04_Ptr,1
F20_SelectionSort/A18_F20_O_A02_PtrOffset,F20_SelectionSort/A21_F20_O_A01_IncrConfusion,1
F40_HexToInt/A04_F40_S_Recursive,F40_HexToInt/A10_F40_O_A01_Goto,1
F17_ArrayRotate/A07_F17_S_Cyclic,F31_WordCount/A17_F31_O_A02_DoubleBuffer,0
F19_RemoveDuplicates/A08_F19_O_A01_CFP,F50_IntToRoman/A08_F50_O_A02_VariableSplit,0
F13_QuickSort/A18_F13_O_A02_WhileTrue,F33_LCP/A12_F33_O_A01_DoubleNegation,0
F28_IsPalindrome/A02_F28_S_Recursive,F28_IsPalindrome/A05_F28_S_BitwiseXor,1
F26_StrLen/A03_F26_S_PointerDiff,F43_IsPowerOfTwo/A17_F43_O_A05_TernaryChain,0
F39_TitleCase/A05_F39_S_ManualRange,F43_IsPowerOfTwo/A14_F43_O_A03_Arithmetic,0
F23_LinearSearch/A03_F23_S_Sentinel,F23_LinearSearch/A21_F23_O_A05_PtrOffset,1
F27_StrCmp/A03_F27_S_Recursive,F19_RemoveDuplicates/A18_F19_O_A03_DummyLoop,0
F24_ArraySum/A08_F24_O_A01_CFP,F19_RemoveDuplicates/A11_F19_O_A01_DoubleNegation,0
F22_InsertionSort/A16_F22_O_A01_Opaque,F22_InsertionSort/A17_F22_O_A01_WhileTrue,1
F05_Sqrt/A13_F05_O_A12_Redundant,F36_CaseToggle/A07_F36_S_MaskAndValidation,0
F01_Sum/A03_F01_O_A01_Goto,F37_TrimSpace/A03_F37_S_Recursive,0
F32_StrCompress/A09_F32_O_A01_Flattening,F32_StrCompress/A17_F32_O_A04_StaticBuf,1
F37_TrimSpace/A08_F37_S_BitMaskValidation,F37_TrimSpace/A12_F37_O_A01_VarSplit,1
F24_ArraySum/A07_F24_O_A01_Goto,F42_HammingDistance/A07_F42_S_LUT,0
F11_BinarySearch/A21_F11_O_A02_Trampoline,F14_ArrayReverse/A19_F14_O_A06_Aliases,0
F37_TrimSpace/A07_F37_S_StrpbrkJump,F37_TrimSpace/A18_F37_O_A03_TailRec,1
F32_StrCompress/A08_F32_S_LibraryPointer,F38_ReverseWords/A04_F38_S_BackScan,0
F45_GrayCode/A03_F45_S_Recursive,F45_GrayCode/A06_F45_S_LUT,1
F34_CharFrequency/A02_F34_S_PointerWalk,F34_CharFrequency/A18_F34_O_A08_StateFlag,1
F22_InsertionSort/A12_F22_O_A01_Ternary,F22_InsertionSort/A15_F22_O_A03_TailRec,1
F26_StrLen/A14_F26_O_A04_DivideConquer,F26_StrLen/A18_F26_O_A01_MathIdent,1
F25_ArrayAverage/A17_F25_O_A01_VarSplit,F14_ArrayReverse/A04_F14_S_Stack,0
F23_LinearSearch/A21_F23_O_A05_PtrOffset,F45_GrayCode/A20_F45_O_A01_Redundant,0
F21_ShellSort/A04_F21_S_TripleLoop,F21_ShellSort/A08_F21_S_SedgewickLow,1
F10_Log2/A11_F10_O_A01_MathIdent,F10_Log2/A17_F10_O_A01_LogicWrap,1
F10_Log2/A14_F10_O_A01_Unroll,F03_Factorial/A12_F03_S_GammaApprox,0
F30_SubStrFind/A13_F30_O_A03_Redundant,F42_HammingDistance/A09_F42_O_A03_Opaque,0
F13_QuickSort/A13_F13_O_A01_Unroll,F13_QuickSort/A17_F13_O_A01_DummyLoop,1
F17_ArrayRotate/A15_F17_O_A02_Struct,F43_IsPowerOfTwo/A09_F43_O_A01_Flattening,0
F40_HexToInt/A14_F40_O_A05_LongLong,F48_RLEEncode/A12_F48_O_A01_DoubleNegation,0
F45_GrayCode/A01_F45_S_Classic,F45_GrayCode/A07_F45_S_Parity,1
F38_ReverseWords/A13_F38_O_A04_Bitwise,F38_ReverseWords/A17_F38_O_A03_LogicSplit,1
F26_StrLen/A17_F26_O_A01_State,F25_ArrayAverage/A09_F25_O_A01_FloatIntermediate,0
F47_XorCipher/A02_F47_S_Recursive,F47_XorCipher/A15_F47_O_A06_DoubleNeg,1
F26_StrLen/A06_F26_S_Block4,F10_Log2/A03_F10_S_MathChangeBase,0
F32_StrCompress/A06_F32_S_MemchrLogic,F43_IsPowerOfTwo/A07_F43_S_Builtin,0
F33_LCP/A17_F33_O_A01_Unroll,F28_IsPalindrome/A21_F28_O_A03_CommaOp,0
F04_Fibonacci/A06_F04_S_FastDouble,F04_Fibonacci/A17_F04_O_A02_TailRecursionSim,1
F10_Log2/A13_F10_O_A06_Bitwise,F44_ByteSwap/A07_F44_S_Recursion,0
F03_Factorial/A03_F03_O_A01_Goto,F03_Factorial/A13_F03_O_A12_Logspace,1
F33_LCP/A03_F33_S_DivideConquer,F33_LCP/A19_F33_O_A02_Reduction,1
F12_BubbleSort/A06_F12_S_EarlyExit,F12_BubbleSort/A12_F12_S_QsortWrapper,1
F45_GrayCode/A14_F45_O_A01_DoubleNeg,F45_GrayCode/A20_F45_O_A01_Redundant,1
F24_ArraySum/A01_F24_S_LinearFor,F10_Log2/A18_F10_O_A06_JumpTable,0
F48_RLEEncode/A01_F48_S_ClassicIterative,F48_RLEEncode/A02_F48_S_Recursive,1
F17_ArrayRotate/A09_F17_O_A01_Flattening,F17_ArrayRotate/A12_F17_O_A01_Arithmetic,1
F05_Sqrt/A12_F05_S_OddSubtraction,F14_ArrayReverse/A14_F14_O_A03_Dummy,0
F25_ArrayAverage/A20_F25_O_A01_IncrConfusion,F49_CaesarCipher/A15_F49_O_A01_LoopUnrollSubstitute,0
F47_XorCipher/A04_F47_S_TwoWay,F47_XorCipher/A11_F47_O_A06_Math,1
F50_IntToRoman/A21_F50_S_Modulo_Recursive,F38_ReverseWords/A18_F38_O_A04_StructSim,0
F42_HammingDistance/A04_F42_S_Builtin,F37_TrimSpace/A16_F37_O_A01_Redundant,0
F17_ArrayRotate/A11_F17_O_A03_Opaque,F01_Sum/A03_F01_O_A01_Goto,0
F20_SelectionSort/A19_F20_O_A01_JumpTable,F32_StrCompress/A05_F32_S_Lookback,0
F32_StrCompress/A04_F32_S_BufferWrite,F14_ArrayReverse/A01_F14_S_TwoPointer,0
F17_ArrayRotate/A06_F17_S_FullCopy,F23_LinearSearch/A01_F23_S_BasicIter,0
F29_AnagramCheck/A01_F29_S_FreqArray,F23_LinearSearch/A18_F23_O_A06_BitwiseNegation,0
F05_Sqrt/A10_F05_S_Linear,F17_ArrayRotate/A06_F17_S_FullCopy,0
F05_Sqrt/A13_F05_O_A12_Redundant,F11_BinarySearch/A05_F11_S_Exponential,0
F19_RemoveDuplicates/A13_F19_O_A04_PtrOffset,F19_RemoveDuplicates/A16_F19_O_A06_Opaque,1
F39_TitleCase/A18_F39_O_A04_XORLogic,F50_IntToRoman/A19_F50_S_Buffer_Unrolling,0
F33_LCP/A11_F33_O_A05_Bitwise,F45_GrayCode/A02_F45_S_Loop,0
F01_Sum/A06_F01_O_A04_Ternary,F45_GrayCode/A01_F45_S_Classic,0
F13_QuickSort/A05_F13_S_MedianOfThree,F13_QuickSort/A14_F13_O_A02_Bitwise,1
F44_ByteSwap/A18_F44_O_A17_Unrolled_Loop,F50_IntToRoman/A14_F50_O_A07_Intertwined,0
F31_WordCount/A17_F31_O_A02_DoubleBuffer,F31_WordCount/A19_F31_O_A03_Ternary,1
F39_TitleCase/A08_F39_S_DoublePass,F39_TitleCase/A18_F39_O_A04_XORLogic,1
F42_HammingDistance/A20_F42_O_A01_Identity,F37_TrimSpace/A03_F37_S_Recursive,0
F39_TitleCase/A06_F39_S_LookBehind,F43_IsPowerOfTwo/A08_F43_S_LUT,0
F40_HexToInt/A13_F40_O_A03_Indirection,F40_HexToInt/A21_F40_O_A06_Wrapper,1
F20_SelectionSort/A16_F20_O_A01_Opaque,F20_SelectionSort/A18_F20_O_A02_PtrOffset,1
F14_ArrayReverse/A16_F14_O_A08_Flat,F14_ArrayReverse/A17_F14_O_A03_Inline,1
F46_Base64Encode/A19_F46_O_A02_RecursiveFlatten,F04_Fibonacci/A15_F04_O_A06_BitwiseShiftReplace,0
F36_CaseToggle/A14_F36_O_A05_TernaryRec,F31_WordCount/A20_F31_O_A04_NestedWhile,0
F04_Fibonacci/A01_F04_S_Iterative,F04_Fibonacci/A18_F04_O_A01_ArrayPointerLogic,1
F22_InsertionSort/A10_F22_O_A01_DoubleNeg,F22_InsertionSort/A14_F22_O_A01_DummyLoop,1
F12_BubbleSort/A03_F12_O_A01_Goto,F12_BubbleSort/A12_F12_S_QsortWrapper,1
F40_HexToInt/A14_F40_O_A05_LongLong,F38_ReverseWords/A07_F38_O_A01_Goto,0
F49_CaesarCipher/A01_F49_S_IterativeBasic,F37_TrimSpace/A16_F37_O_A01_Redundant,0
F21_ShellSort/A07_F21_S_LinearScan,F21_ShellSort/A17_F21_O_A03_LogicInvert,1
F36_CaseToggle/A20_F36_O_A02_WhileTrue,F43_IsPowerOfTwo/A17_F43_O_A05_TernaryChain,0
F40_HexToInt/A05_F40_S_PtrMath,F25_ArrayAverage/A18_F25_O_A01_PtrOffset,0
F27_StrCmp/A16_F27_O_A08_FlatMachine,F38_ReverseWords/A06_F38_S_InPlaceShift,0
F03_Factorial/A14_F03_S_Decrement,F03_Factorial/A20_F03_S_Indirect,1
F37_TrimSpace/A21_F37_O_A01_ArithmeticShift,F45_GrayCode/A04_F45_S_Math,0
F36_CaseToggle/A06_F36_S_PointerDiff,F19_RemoveDuplicates/A09_F19_O_A05_Ternary,0
F34_CharFrequency/A05_F34_S_XorZero,F28_IsPalindrome/A11_F28_O_A04_OpaquePredicate,0
F17_ArrayRotate/A11_F17_O_A03_Opaque,F03_Factorial/A18_F03_S_DoubleLoop,0
F19_RemoveDuplicates/A19_F19_O_A01_WhileTrue,F14_ArrayReverse/A10_F14_O_A03_Goto,0
F01_Sum/A08_F01_O_A07_Bitshift,F01_Sum/A13_F01_S_TailRecursive,1
F46_Base64Encode/A14_F46_O_A04_DummyLoop,F30_SubStrFind/A05_F30_S_Recursive,0
F28_IsPalindrome/A04_F28_S_StackLogic,F28_IsPalindrome/A15_F28_O_A03_TernaryChain,1
F27_StrCmp/A17_F27_O_A01_Macro,F45_GrayCode/A06_F45_S_LUT,0
F05_Sqrt/A15_F05_O_A14_Ternary,F48_RLEEncode/A18_F48_O_A03_JumpTable,0
F21_ShellSort/A19_F21_O_A01_Unroll,F48_RLEEncode/A02_F48_S_Recursive,0
F22_InsertionSort/A05_F22_S_ForLoopShift,F48_RLEEncode/A18_F48_O_A03_JumpTable,0
F39_TitleCase/A02_F39_S_PtrArith,F39_TitleCase/A06_F39_S_LookBehind,1
F11_BinarySearch/A09_F11_O_A01_Flattening,F49_CaesarCipher/A12_F49_O_A05_SwitchCase,0
F25_ArrayAverage/A14_F25_O_A01_DummyLoop,F25_ArrayAverage/A18_F25_O_A01_PtrOffset,1
F48_RLEEncode/A05_F48_S_TwoIndexLookahead,F38_ReverseWords/A04_F38_S_BackScan,0
F48_RLEEncode/A10_F48_O_A03_PointerOffset,F48_RLEEncode/A16_F48_O_A02_StackSim,1
F04_Fibonacci/A05_F04_S_MatrixExp,F03_Factorial/A14_F03_S_Decrement,0
F43_IsPowerOfTwo/A05_F43_S_Recursive,F03_Factorial/A20_F03_S_Indirect,0
F26_StrLen/A08_F26_S_StrchrBased,F47_XorCipher/A17_F47_O_A05_Ternary,0
F30_SubStrFind/A15_F30_O_A01_LoopUnroll,F45_GrayCode/A15_F45_O_A05_Alias,0
F24_ArraySum/A03_F24_S_RecursiveSimple,F24_ArraySum/A07_F24_O_A01_Goto,1
F36_CaseToggle/A14_F36_O_A05_TernaryRec,F36_CaseToggle/A17_F36_O_A01_DoubleLoop,1
F31_WordCount/A05_F31_S_Recursive,F31_WordCount/A06_F31_S_Sscanf,1
F26_StrLen/A03_F26_S_PointerDiff,F26_StrLen/A12_F26_O_A03_PtrArith,1
F01_Sum/A06_F01_O_A04_Ternary,F01_Sum/A17_F01_O_A16_Nested,1
F49_CaesarCipher/A02_F49_S_PtrArithmetic,F49_CaesarCipher/A11_F49_O_A01_VarSplitting,1
F45_GrayCode/A05_F45_S_Byte,F45_GrayCode/A17_F45_O_A07_Unroll,1
F24_ArraySum/A05_F24_S_UnrolledFour,F05_Sqrt/A09_F05_O_A08_ExpLog,0
F46_Base64Encode/A10_F46_O_A05_VarSplit,F50_IntToRoman/A17_F50_S_Duo_Array_Index,0
F37_TrimSpace/A08_F37_S_BitMaskValidation,F50_IntToRoman/A15_F50_S_Two_Pointer_Scan,0
F40_HexToInt/A06_F40_S_Lib,F40_HexToInt/A17_F40_O_A04_RecursiveJump,1
F14_ArrayReverse/A06_F14_S_Pointers,F38_ReverseWords/A20_F38_O_A02_RecursivePointer,0
F50_IntToRoman/A13_F50_S_Switch_Case_Tiered,F50_IntToRoman/A20_F50_O_A05_LongLong_Expansion,1
F34_CharFrequency/A15_F34_O_A02_Redundant,F28_IsPalindrome/A08_F28_O_A01_CFP_Switch,0
F34_CharFrequency/A20_F34_O_A04_WhileTrue,F45_GrayCode/A03_F45_S_Recursive,0
F12_BubbleSort/A02_F12_O_A01_Flat,F12_BubbleSort/A11_F12_O_A10_Pointer,1
F10_Log2/A21_F10_O_A01_Bitfield,F28_IsPalindrome/A01_F28_S_TwoPointer,0
F26_StrLen/A03_F26_S_PointerDiff,F17_ArrayRotate/A11_F17_O_A03_Opaque,0
F46_Base64Encode/A16_F46_O_A05_Ternary,F46_Base64Encode/A17_F46_O_A06_LogicInvert,1
F19_RemoveDuplicates/A03_F19_S_BufferTransfer,F19_RemoveDuplicates/A10_F19_O_A06_Bitwise,1
F31_WordCount/A01_F31_S_StateMachine,F31_WordCount/A16_F31_O_A04_Redundant,1
F24_ArraySum/A20_F24_O_A02_IncrConfusion,F22_InsertionSort/A09_F22_O_A06_MathIdent,0
F26_StrLen/A04_F26_S_Recursive,F49_CaesarCipher/A03_F49_S_Recursive,0
F26_StrLen/A08_F26_S_StrchrBased,F26_StrLen/A15_F26_O_A01_Volatile,1
F21_ShellSort/A04_F21_S_TripleLoop,F21_ShellSort/A09_F21_O_A01_Goto,1
F42_HammingDistance/A10_F42_O_A01_Goto,F42_HammingDistance/A14_F42_O_A01_Unroll,1
F46_Base64Encode/A09_F46_O_A02_Opaque,F46_Base64Encode/A14_F46_O_A04_DummyLoop,1
F30_SubStrFind/A09_F30_O_A01_Flattening,F04_Fibonacci/A08_F04_O_A01_GotoReconstruction,0
F26_StrLen/A01_F26_S_Standard,F28_IsPalindrome/A10_F28_O_A03_VarSplit,0
F25_ArrayAverage/A05_F25_S_Unrolled,F25_ArrayAverage/A12_F25_O_A03_BitwisePtr,1
F32_StrCompress/A06_F32_S_MemchrLogic,F32_StrCompress/A18_F32_O_A03_TailRec,1
F44_ByteSwap/A05_F44_S_Divide_Conquer,F29_AnagramCheck/A07_F29_S_DualPointer,0
F48_RLEEncode/A01_F48_S_ClassicIterative,F48_RLEEncode/A21_F48_O_A05_WhileTrue,1
F30_SubStrFind/A17_F30_O_A06_StaticRef,F13_QuickSort/A05_F13_S_MedianOfThree,0
F40_HexToInt/A07_F40_S_Switch,F40_HexToInt/A10_F40_O_A01_Goto,1
F01_Sum/A03_F01_O_A01_Goto,F28_IsPalindrome/A11_F28_O_A04_OpaquePredicate,0
F20_SelectionSort/A13_F20_O_A01_LogicWrap,F20_SelectionSort/A20_F20_O_A04_VarSplit,1
F31_WordCount/A05_F31_S_Recursive,F31_WordCount/A12_F31_O_A01_VarSplit,1
F49_CaesarCipher/A16_F49_O_A02_DeadCodeInjection,F38_ReverseWords/A01_F38_S_TwoPass,0
F12_BubbleSort/A16_F12_S_JumpTable,F13_QuickSort/A03_F13_S_MiddlePivot,0
F22_InsertionSort/A08_F22_O_A01_CFP,F22_InsertionSort/A19_F22_O_A01_JumpTable,1
F12_BubbleSort/A15_F12_O_A14_BitAdd,F43_IsPowerOfTwo/A15_F43_O_A02_WhileToFor,0
F24_ArraySum/A15_F24_O_A01_XorZero,F39_TitleCase/A19_F39_O_A01_NestedState,0
F26_StrLen/A14_F26_O_A04_DivideConquer,F03_Factorial/A10_F03_S_BinarySplit,0
F04_Fibonacci/A10_F04_O_A02_TernaryRecursive,F04_Fibonacci/A11_F04_O_A03_TaylorSeriesExp,1
F39_TitleCase/A19_F39_O_A01_NestedState,F39_TitleCase/A21_F39_O_A07_BufferShuffle,1
F24_ArraySum/A02_F24_S_PointerArithmetic,F49_CaesarCipher/A06_F49_S_BitwiseToggle,0
F46_Base64Encode/A04_F46_S_ByteByByte,F44_ByteSwap/A01_F44_S_Bitwise_Standard,0
F24_ArraySum/A09_F24_O_A01_MathIdent,F24_ArraySum/A10_F24_O_A03_Ternary,1
F20_SelectionSort/A11_F20_O_A01_DoubleNeg,F36_CaseToggle/A12_F36_O_A02_VarSplit,0
F34_CharFrequency/A01_F34_S_NaiveIter,F34_CharFrequency/A06_F34_S_LookupTable,1
F46_Base64Encode/A12_F46_O_A06_BitwiseSwap,F04_Fibonacci/A15_F04_O_A06_BitwiseShiftReplace,0
F44_ByteSwap/A12_F44_O_A09_Arithmetic,F44_ByteSwap/A21_F44_S_Shift_Accumulate,1
F27_StrCmp/A04_F27_S_LengthCheck,F47_XorCipher/A10_F47_O_A03_VarSplit,0
F13_QuickSort/A04_F13_S_TailRecursive,F13_QuickSort/A11_F13_O_A02_DoubleNegation,1
F31_WordCount/A09_F31_O_A01_Flattening,F31_WordCount/A19_F31_O_A03_Ternary,1
F24_ArraySum/A18_F24_O_A05_VarSplit,F01_Sum/A11_F01_O_A10_Redundant,0
F47_XorCipher/A07_F47_O_A01_Goto,F47_XorCipher/A08_F47_O_A01_CFP,1
F40_HexToInt/A03_F40_S_LUT,F49_CaesarCipher/A20_F49_O_A02_WhileTrueBreak,0
F12_BubbleSort/A17_F12_O_A16_Switch,F22_InsertionSort/A05_F22_S_ForLoopShift,0
F24_ArraySum/A01_F24_S_LinearFor,F24_ArraySum/A16_F24_O_A01_Opaque,1
F11_BinarySearch/A03_F11_S_Deferred,F28_IsPalindrome/A20_F28_O_A06_DoublePointer,0
F21_ShellSort/A05_F21_S_Pointer,F21_ShellSort/A18_F21_O_A04_DoublePtr,1
F01_Sum/A06_F01_O_A04_Ternary,F34_CharFrequency/A14_F34_O_A03_TernaryRec,0
F12_BubbleSort/A04_F12_S_Recursive,F12_BubbleSort/A20_F12_O_A08_Struct,1
F28_IsPalindrome/A05_F28_S_BitwiseXor,F28_IsPalindrome/A20_F28_O_A06_DoublePointer,1
F27_StrCmp/A13_F27_O_A01_DoublePtr,F43_IsPowerOfTwo/A02_F43_S_Iterative,0
F22_InsertionSort/A20_F22_O_A02_VarSplit,F38_ReverseWords/A15_F38_O_A01_DoublePtr,0
F45_GrayCode/A09_F45_O_A02_Opaque,F45_GrayCode/A20_F45_O_A01_Redundant,1
F17_ArrayRotate/A02_F17_S_Juggling,F17_ArrayRotate/A06_F17_S_FullCopy,1
F25_ArrayAverage/A08_F25_O_A02_CFP,F25_ArrayAverage/A13_F25_O_A01_Ternary,1
F34_CharFrequency/A09_F34_O_A01_Flattening,F34_CharFrequency/A21_F34_O_A01_ArrayBuffer,1
F19_RemoveDuplicates/A05_F19_S_InPlaceDelete,F21_ShellSort/A11_F21_O_A02_Opaque,0
F05_Sqrt/A07_F05_O_A06_Bitwise,F04_Fibonacci/A03_F04_S_BinetFormula,0
F46_Base64Encode/A21_F46_O_A03_JumpTable,F39_TitleCase/A07_F39_S_Strtok,0
F14_ArrayReverse/A03_F14_S_Midpoint,F14_ArrayReverse/A11_F14_O_A02_Opaque,1
F33_LCP/A09_F33_O_A02_MathIdent,F33_LCP/A19_F33_O_A02_Reduction,1
F11_BinarySearch/A09_F11_O_A01_Flattening,F28_IsPalindrome/A10_F28_O_A03_VarSplit,0
F33_LCP/A08_F33_O_A01_CFP_Switch,F33_LCP/A10_F33_O_A03_OpaquePredicate,1
F24_ArraySum/A17_F24_O_A06_WhileTrue,F20_SelectionSort/A09_F20_O_A01_MathIdent,0
F22_InsertionSort/A19_F22_O_A01_JumpTable,F01_Sum/A09_F01_O_A07_Expanded,0
F24_ArraySum/A05_F24_S_UnrolledFour,F21_ShellSort/A19_F21_O_A01_Unroll,0
F43_IsPowerOfTwo/A01_F43_S_Bitwise,F43_IsPowerOfTwo/A16_F43_O_A08_PtrAlias,1
F43_IsPowerOfTwo/A10_F43_O_A02_Opaque,F50_IntToRoman/A19_F50_S_Buffer_Unrolling,0
F23_LinearSearch/A02_F23_S_Recursive,F23_LinearSearch/A18_F23_O_A06_BitwiseNegation,1
F46_Base64Encode/A09_F46_O_A02_Opaque,F46_Base64Encode/A12_F46_O_A06_BitwiseSwap,1
F12_BubbleSort/A13_F12_O_A12_IndirectCmp,F21_ShellSort/A03_F21_S_HibbardGap,0
F28_IsPalindrome/A02_F28_S_Recursive,F28_IsPalindrome/A09_F28_O_A02_FakeControl,1
F33_LCP/A12_F33_O_A01_DoubleNegation,F33_LCP/A18_F33_O_A03_JumpTable,1
F26_StrLen/A01_F26_S_Standard,F23_LinearSearch/A13_F23_O_A05_MathIdentity,0
F10_Log2/A12_F10_O_A04_DoubleNeg,F42_HammingDistance/A11_F42_O_A01_VarSplit,0
F34_CharFrequency/A07_F34_S_DivideConquer,F34_CharFrequency/A15_F34_O_A02_Redundant,1
F05_Sqrt/A02_F05_O_A01_Flat,F05_Sqrt/A06_F05_S_BitByBit,1
F04_Fibonacci/A21_F04_O_A01_DuffStyleLoop,F19_RemoveDuplicates/A13_F19_O_A04_PtrOffset,0
F34_CharFrequency/A03_F34_S_Recursive,F34_CharFrequency/A10_F34_O_A02_Opaque,1
F13_QuickSort/A20_F13_O_A01_JumpTable,F39_TitleCase/A06_F39_S_LookBehind,0
F22_InsertionSort/A11_F22_O_A01_Bitwise,F34_CharFrequency/A07_F34_S_DivideConquer,0
F05_Sqrt/A07_F05_O_A06_Bitwise,F05_Sqrt/A18_F05_O_A01_DoubleVar,1
F12_BubbleSort/A11_F12_O_A10_Pointer,F36_CaseToggle/A17_F36_O_A01_DoubleLoop,0
F28_IsPalindrome/A05_F28_S_BitwiseXor,F28_IsPalindrome/A14_F28_O_A01_IncrementConfusion,1
F37_TrimSpace/A11_F37_O_A05_Goto,F37_TrimSpace/A12_F37_O_A01_VarSplit,1
F40_HexToInt/A01_F40_S_Accumulate,F43_IsPowerOfTwo/A20_F43_O_A03_StepSplit,0
F17_ArrayRotate/A09_F17_O_A01_Flattening,F13_QuickSort/A09_F13_O_A03_Ternary,0
F25_ArrayAverage/A02_F25_S_IncrementalMean,F19_RemoveDuplicates/A20_F19_O_A04_IncrConfusion,0
F11_BinarySearch/A06_F11_S_Fibonacci,F11_BinarySearch/A14_F11_O_A07_Pointer,1
F23_LinearSearch/A08_F23_O_A01_CFP_Switch,F23_LinearSearch/A09_F23_O_A02_TernaryRec,1
F37_TrimSpace/A02_F37_S_BufferCopy,F37_TrimSpace/A19_F37_O_A01_LongLong,1
F44_ByteSwap/A16_F44_O_A05_JunkCode,F44_ByteSwap/A19_F44_S_DuoPointer,1
F34_CharFrequency/A05_F34_S_XorZero,F47_XorCipher/A19_F47_O_A03_JumpTable,0
F45_GrayCode/A06_F45_S_LUT,F45_GrayCode/A15_F45_O_A05_Alias,1
F26_StrLen/A07_F26_O_A01_Goto,F49_CaesarCipher/A11_F49_O_A01_VarSplitting,0
F26_StrLen/A20_F26_O_A01_PointerInc,F33_LCP/A02_F33_S_Horizontal,0
F36_CaseToggle/A11_F36_O_A01_Goto,F36_CaseToggle/A16_F36_O_A03_PointerMap,1
F40_HexToInt/A12_F40_O_A02_BitNoise,F37_TrimSpace/A08_F37_S_BitMaskValidation,0
F25_ArrayAverage/A08_F25_O_A02_CFP,F50_IntToRoman/A07_F50_S_Pointer_Buffer_Fill,0
F11_BinarySearch/A08_F11_S_JumpSearch,F49_CaesarCipher/A12_F49_O_A05_SwitchCase,0
F11_BinarySearch/A14_F11_O_A07_Pointer,F50_IntToRoman/A05_F50_S_Loop_Subtraction_Logic,0
F31_WordCount/A09_F31_O_A01_Flattening,F47_XorCipher/A16_F47_O_A01_Arithmetic,0
F05_Sqrt/A07_F05_O_A06_Bitwise,F49_CaesarCipher/A21_F49_O_A06_UnsignedLogic,0
F13_QuickSort/A18_F13_O_A02_WhileTrue,F47_XorCipher/A02_F47_S_Recursive,0
F30_SubStrFind/A07_F30_S_FirstCharJump,F30_SubStrFind/A21_F30_O_A08_DoubleCheck,1
F47_XorCipher/A13_F47_O_A03_PtrLogic,F47_XorCipher/A14_F47_O_A04_DummyLoop,1
F10_Log2/A15_F10_O_A05_VariableSplit,F32_StrCompress/A14_F32_O_A01_Redundant,0
F45_GrayCode/A03_F45_S_Recursive,F14_ArrayReverse/A08_F14_S_Iterators,0
F12_BubbleSort/A05_F12_O_A04_TernarySwap,F10_Log2/A18_F10_O_A06_JumpTable,0
F26_StrLen/A12_F26_O_A03_PtrArith,F40_HexToInt/A11_F40_O_A01_VarSplit,0
F45_GrayCode/A12_F45_O_A04_Logic,F45_GrayCode/A15_F45_O_A05_Alias,1
F13_QuickSort/A06_F13_S_PointerSwap,F13_QuickSort/A13_F13_O_A01_Unroll,1
F45_GrayCode/A07_F45_S_Parity,F45_GrayCode/A16_F45_O_A01_Arithmetic,1
F20_SelectionSort/A17_F20_O_A01_WhileTrue,F42_HammingDistance/A10_F42_O_A01_Goto,0
F26_StrLen/A07_F26_O_A01_Goto,F34_CharFrequency/A07_F34_S_DivideConquer,0
F42_HammingDistance/A17_F42_O_A03_Wide,F29_AnagramCheck/A17_F29_O_A06_StaticChaos,0
F14_ArrayReverse/A12_F14_O_A06_Arithmetic,F14_ArrayReverse/A13_F14_O_A01_VarSplit,1
F22_InsertionSort/A09_F22_O_A06_MathIdent,F22_InsertionSort/A17_F22_O_A01_WhileTrue,1
F29_AnagramCheck/A17_F29_O_A06_StaticChaos,F23_LinearSearch/A20_F23_O_A01_IncrementConfusion,0
F17_ArrayRotate/A05_F17_S_BlockSwap,F45_GrayCode/A09_F45_O_A02_Opaque,0
F21_ShellSort/A13_F21_O_A05_Bitshift,F28_IsPalindrome/A07_F28_O_A01_Goto,0
F46_Base64Encode/A08_F46_O_A04_CFP,F43_IsPowerOfTwo/A18_F43_O_A01_DoubleNegation,0
